rank,channel_info,influence_score,old_posts,posts,old_followers,followers,old_avg_likes,avg_likes,60_day_eng_rate,old_new_post_avg_like,new_post_avg_like,old_total_likes,total_likes,country
117,vanessahudgens,84,4.2k,4200,46.8m,46800000,633.9k,633900,0.63%,292.9k,292900,2.7b,2700000000,United States
118,5-Minute Crafts GIRLY,85,10.0k,10000,46.5m,46500000,157.0k,157000,0.03%,12.4k,12400,1.6b,1600000000,United States
119,zayn,82,0.16k,160,46.5m,46500000,4.7m,4700000,8.81%,4.0m,4000000,773.5m,773500000,United States
120,larissamanoela,85,5.2k,5200,46.5m,46500000,579.6k,579600,0.57%,259.4k,259400,3.0b,3000000000,Brazil
121,travisscott,78,3.2k,3200,46.2m,46200000,3.0m,3000000,5.71%,2.6m,2600000,9.6b,9600000000,United States
122,thenotoriousmma,82,3.2k,3200,45.9m,45900000,1.1m,1100000,0.69%,311.5k,311500,3.5b,3500000000,United States
123,daddyyankee,80,0.02k,20,45.9m,45900000,652.5k,652500,1.00%,455.3k,455300,18.3m,18300000,Puerto Rico
124,natgeotravel,82,16.9k,16900,45.8m,45800000,189.9k,189900,0.12%,52.8k,52800,3.2b,3200000000,United States
125,nikefootball,85,1.8k,1800,45.4m,45400000,431.2k,431200,0.44%,199.8k,199800,784.0m,784000000,United States
126,stephencurry30,84,1.1k,1100,45.4m,45400000,1.1m,1100000,2.76%,1.2m,1200000,1.2b,1200000000,
127,vancityreynolds,86,0.68k,680,44.8m,44800000,1.4m,1400000,2.61%,1.2m,1200000,925.7m,925700000,
128,maisa,42,1.5k,1500,44.5m,44500000,553.0k,553000,0.67%,294.1k,294100,820.1m,820100000,Brazil
129,luissuarez9,85,0.97k,970,44.2m,44200000,801.8k,801800,0.96%,414.8k,414800,782.5m,782500000,
130,gusttavolima,76,4.9k,4900,43.9m,43900000,475.1k,475100,0.71%,303.9k,303900,2.3b,2300000000,Brazil
131,jannatzubair29,84,1.6k,1600,43.8m,43800000,1.3m,1300000,2.18%,944.3k,944300,2.2b,2200000000,
132,varundvn,84,1.9k,1900,43.8m,43800000,1.1m,1100000,1.48%,640.5k,640500,2.0b,2000000000,India
133,hrithikroshan,85,0.58k,580,43.7m,43700000,1.6m,1600000,3.82%,1.6m,1600000,949.9m,949900000,C̫te d'Ivoire
134,nickyjampr,81,10.0k,10000,43.4m,43400000,381.6k,381600,0.33%,139.3k,139300,3.8b,3800000000,Colombia
135,buzzfeedtasty,85,8.9k,8900,43.2m,43200000,65.1k,65100,0.02%,7.7k,7700,580.7m,580700000,Spain
136,brunamarquezine,84,3.0k,3000,43.1m,43100000,969.7k,969700,1.05%,444.2k,444200,2.9b,2900000000,United States
137,caradelevingne,86,4.4k,4400,42.9m,42900000,790.2k,790200,0.43%,181.0k,181000,3.5b,3500000000,United States
138,kapilsharma,83,0.95k,950,42.2m,42200000,736.4k,736400,1.49%,624.5k,624500,710.7m,710700000,
139,badbunnypr,83,0.01k,10,42.1m,42100000,3.7m,3700000,13.09%,5.4m,5400000,67.5m,67500000,
140,britneyspears,80,3.0k,3000,42.1m,42100000,513.1k,513100,0.55%,221.7k,221700,1.6b,1600000000,Turkey
141,j.m,83,0.02k,20,41.9m,41900000,14.2m,14200000,26.41%,11.0m,11000000,368.1m,368100000,
142,mariliamendoncacantora,73,1.4k,1400,41.8m,41800000,1.0m,1000000,1.98%,818.6k,818600,1.5b,1500000000,Brazil
143,norafatehi,83,1.7k,1700,41.6m,41600000,1.4m,1400000,1.76%,727.5k,727500,2.3b,2300000000,Anguilla
144,theweeknd,83,0.67k,670,41.5m,41500000,1.1m,1100000,3.97%,1.6m,1600000,767.0m,767000000,
145,dior,85,9.7k,9700,41.5m,41500000,88.8k,88800,0.16%,63.6k,63600,863.0m,863000000,
146,ranveersingh,85,1.8k,1800,40.8m,40800000,1.0m,1000000,0.76%,299.3k,299300,1.8b,1800000000,Switzerland
147,marinaruybarbosa,81,2.1k,2100,40.7m,40700000,586.4k,586400,0.01%,0,0,1.2b,1200000000,Brazil
148,jenniferaniston,85,0.09k,90,40.7m,40700000,4.6m,4600000,1.88%,731.0k,731000,452.0m,452000000,
149,addisonraee,85,0.30k,300,40.1m,40100000,3.1m,3100000,2.49%,994.4k,994400,957.9m,957900000,
150,andresiniesta8,85,2.0k,2000,40.0m,40000000,250.8k,250800,0.41%,161.7k,161700,500.5m,500500000,Spain
151,princessyahrini,81,4.5k,4500,40.0m,40000000,118.3k,118300,0.22%,87.4k,87400,529.9m,529900000,Indonesia
152,liverpoolfc,75,10.0k,10000,39.9m,39900000,346.7k,346700,0.42%,162.9k,162900,3.5b,3500000000,United Kingdom
153,teddysphotos,80,2.3k,2300,39.9m,39900000,715.5k,715500,0.46%,181.1k,181100,1.7b,1700000000,United States
154,worldstar,78,11.6k,11600,39.2m,39200000,157.4k,157400,0.23%,84.4k,84400,1.8b,1800000000,United States
155,natashawilona12,84,1.2k,1200,39.2m,39200000,486.5k,486500,0.59%,227.7k,227700,563.9m,563900000,
156,mahi7781,58,0.10k,100,39.1m,39100000,4.1m,4100000,0.17%,0,0,439.4m,439400000,
157,georginagio,74,0.73k,730,39.1m,39100000,2.2m,2200000,8.56%,3.3m,3300000,1.6b,1600000000,
158,cznburak,80,1.8k,1800,39.0m,39000000,815.8k,815800,1.01%,383.3k,383300,1.4b,1400000000,
159,chrissyteigen,79,5.1k,5100,38.9m,38900000,623.1k,623100,0.43%,162.1k,162100,3.2b,3200000000,United States
160,ruben_onsu,75,13.4k,13400,38.8m,38800000,139.3k,139300,0.13%,49.1k,49100,1.9b,1900000000,Indonesia
161,wizkhalifa,80,0.50k,500,38.7m,38700000,398.7k,398700,0.31%,115.7k,115700,199.8m,199800000,United States
162,hm,83,7.3k,7300,38.5m,38500000,88.4k,88400,0.06%,22.4k,22400,644.1m,644100000,Sweden
163,anushkasen0408,85,5.3k,5300,38.3m,38300000,695.4k,695400,1.75%,658.3k,658300,3.7b,3700000000,
164,prattprattpratt,84,0.73k,730,38.3m,38300000,813.5k,813500,1.00%,363.8k,363800,594.7m,594700000,
165,marvelstudios,83,2.7k,2700,38.1m,38100000,594.2k,594200,1.58%,555.9k,555900,1.6b,1600000000,
166,wesleysafadao,80,8.9k,8900,37.4m,37400000,256.1k,256100,0.02%,0,0,2.3b,2300000000,
167,parineetichopra,84,1.3k,1300,37.4m,37400000,505.7k,505700,0.68%,246.9k,246900,672.1m,672100000,
168,rkive,83,0.11k,110,37.0m,37000000,10.9m,10900000,NaN%,0,0,1.2b,1200000000,
169,laudyacynthiabella,76,0.38k,380,36.9m,36900000,172.8k,172800,0.12%,43.4k,43400,66.7m,66700000,Indonesia
170,antogriezmann,83,0.87k,870,36.5m,36500000,1.1m,1100000,0.57%,203.6k,203600,955.4m,955400000,France
171,gisel_la,85,9.9k,9900,36.5m,36500000,150.5k,150500,0.10%,33.4k,33400,1.5b,1500000000,
172,eminem,84,0.66k,660,36.4m,36400000,1.1m,1100000,2.69%,962.7k,962700,730.1m,730100000,United States
173,mercedesbenz,77,10.0k,10000,36.0m,36000000,197.9k,197900,0.18%,64.6k,64600,2.0b,2000000000,British Virgin Islands
174,colesprouse,81,1.2k,1200,35.9m,35900000,2.2m,2200000,2.34%,834.5k,834500,2.6b,2600000000,
175,nattinatasha,47,0.03k,30,35.9m,35900000,518.1k,518100,0.80%,285.9k,285900,18.7m,18700000,Czech Republic
176,shahidkapoor,82,1.1k,1100,35.6m,35600000,1.3m,1300000,2.54%,780.0k,780000,1.5b,1500000000,
177,tigerjackieshroff,83,2.1k,2100,35.6m,35600000,1.1m,1100000,1.20%,422.9k,422900,2.2b,2200000000,India
178,kimberly.loaiza,78,0.59k,590,35.5m,35500000,2.6m,2600000,5.23%,1.8m,1800000,1.6b,1600000000,Mexico
179,barackobama,81,0.66k,660,35.4m,35400000,1.1m,1100000,1.19%,411.5k,411500,739.5m,739500000,United States
180,sachintendulkar,76,1.0k,1000,35.3m,35300000,800.4k,800400,2.03%,664.5k,664500,810.0m,810000000,
181,simonemendes,72,4.4k,4400,35.0m,35000000,420.0k,420000,0.65%,222.9k,222900,1.9b,1900000000,Brazil
182,ivetesangalo,84,7.6k,7600,34.8m,34800000,226.4k,226400,0.36%,121.1k,121100,1.7b,1700000000,Brazil
183,lunamaya,83,4.1k,4100,34.8m,34800000,145.4k,145400,0.17%,58.6k,58600,589.6m,589600000,
184,toni.kr8s,83,0.94k,940,34.7m,34700000,597.2k,597200,1.68%,533.5k,533500,561.3m,561300000,
185,dannapaola,68,1.9k,1900,34.7m,34700000,1.5m,1500000,3.49%,1.2m,1200000,2.8b,2800000000,Mexico
186,paollaoliveirareal,84,4.6k,4600,34.7m,34700000,367.8k,367800,0.57%,192.3k,192300,1.7b,1700000000,
187,blakelively,80,0.11k,110,34.6m,34600000,3.1m,3100000,0.02%,0,0,350.9m,350900000,United States
188,adidasoriginals,83,0.15k,150,34.2m,34200000,136.2k,136200,0.20%,66.8k,66800,21.2m,21200000,
189,disney,77,7.3k,7300,34.2m,34200000,185.2k,185200,0.44%,132.0k,132000,1.4b,1400000000,United States
190,shaymitchell,83,6.3k,6300,34.1m,34100000,732.4k,732400,0.73%,247.5k,247500,4.6b,4600000000,United States
191,bmw,79,9.3k,9300,33.7m,33700000,231.3k,231300,0.23%,76.5k,76500,2.2b,2200000000,Germany
192,danbilzerian,84,1.4k,1400,33.6m,33600000,2.0m,2000000,3.58%,1.2m,1200000,2.8b,2800000000,Canada
193,khabib_nurmagomedov,63,4.5k,4500,33.5m,33500000,685.1k,685100,0.67%,220.7k,220700,3.1b,3100000000,Russia
194,zidane,41,0.37k,370,33.5m,33500000,1.1m,1100000,1.61%,532.7k,532700,391.9m,391900000,France
195,sonamkapoor,75,4.8k,4800,33.3m,33300000,264.7k,264700,0.63%,209.2k,209200,1.3b,1300000000,India
196,iambeckyg,71,2.3k,2300,33.2m,33200000,623.8k,623800,1.40%,464.7k,464700,1.4b,1400000000,United States
197,nancyajram,81,3.8k,3800,33.2m,33200000,390.4k,390400,0.64%,208.0k,208000,1.5b,1500000000,France
198,luansantana,79,0.77k,770,33.2m,33200000,193.3k,193300,0.26%,82.6k,82600,149.2m,149200000,Brazil
199,nickjonas,78,2.3k,2300,33.0m,33000000,719.6k,719600,1.42%,467.7k,467700,1.7b,1700000000,United States
200,raisa6690,80,4.2k,4200,32.8m,32800000,232.2k,232200,0.30%,97.4k,97400,969.1m,969100000,Indonesia
